Adhesive Bandage,バンソウコウ,"Your average adhesive
bandage.
Restores 20 HP to one ally.",Lunge,トツゲキ,"Medium Phys dmg to an
area of foes.",Shibuya Crossing,I am the pillager of twilight—[1B]T1%s[1B]R!,"You need my help once more?
Very well, use my power wisely."
Goat Soup,アイテム１３０,Peculiar but nutritious. Restores 30 HP to all allies. Applies Matarukaja effect.,未作成テキスト,未作成テキスト,未作成テキスト,Beach,未作成テキスト,未作成テキスト
Churrasco,アイテム１３１,All the meat you can eat. Restores 30 HP to all allies. Applies Heat Riser effect.,未作成テキスト,未作成テキスト,未作成テキスト,Ferry Dock,未作成テキスト,未作成テキスト
Obanzai,アイテム１３２,"Comfort food, Kyoto style.
Restores 30 HP and cures
status ailments for all allies.",未作成テキスト,未作成テキスト,未作成テキスト,Ferry Dock,未作成テキスト,未作成テキスト
Okonomiyaki,アイテム１３３,A well-known Japanese dish loved by people of all ages. Restores 60 HP to all allies.,未作成テキスト,未作成テキスト,未作成テキスト,Lab Entrance,未作成テキスト,未作成テキスト
Crab Hot Pot,アイテム１３４,"It's hard to say no to crab
hot pot. Restores 80 HP
and 40 SP to all allies.",未作成テキスト,未作成テキスト,未作成テキスト,Ferry Dock,未作成テキスト,未作成テキスト
Osaka Sushi,アイテム１３５,Some of Japan's best sushi. Restores 40 SP to all allies. Applies Marakukaja effect.,未作成テキスト,未作成テキスト,未作成テキスト,Beach,未作成テキスト,未作成テキスト
Kushikatsu,アイテム１３６,Kansai deep-fried skewers. Restores 40 HP to all allies. Applies Matarukaja effect.,未作成テキスト,未作成テキスト,未作成テキスト,Cage of Desolation,未作成テキスト,未作成テキスト
Master Coffee,アイテム１３７,"The finest quality coffee,
brewed Leblanc style.
Restores 50 SP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,Monitoring Area,未作成テキスト,未作成テキスト
未作成テキスト,アイテム１３８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Master Curry,アイテム１３９,"The ultimate curry, honed by plenty of taste testing. Restores 50 SP to all allies.",未作成テキスト,未作成テキスト,未作成テキスト,Odori Park,未作成テキスト,未作成テキスト
未作成テキスト,アイテム１４０,未作成テキスト,Zio,ジオ,"Light Elec dmg to an
area of foes with chance
of inflicting Shock.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム１４１,未作成テキスト,Zionga,ジオンガ,"Medium Elec dmg to an
area of foes with chance
of inflicting Shock.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム１４２,未作成テキスト,Ziodyne,ジオダイン,"Heavy Elec dmg to an
area of foes with chance
of inflicting Shock.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム１４３,未作成テキスト,Thunder Reign,シンリノイカヅチ,"Severe Elec dmg to an
area of foes with chance
of inflicting Shock.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム１４４,未作成テキスト,Mazio,マハジオ,"Light Elec dmg to a wide
area of foes with chance
of inflicting Shock.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム１４５,未作成テキスト,Mazionga,マハジオンガ,"Medium Elec dmg to a wide
area of foes with chance
of inflicting Shock.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム１４６,未作成テキスト,Maziodyne,マハジオダイン,"Heavy Elec dmg to a wide
area of foes with chance
of inflicting Shock.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム１４７,未作成テキスト,Wild Thunder,エル・ジハード,"Severe Elec dmg to a wide
area of foes with chance
of inflicting Shock.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム１４８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム１４９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム１５０,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Shinsekai,未作成テキスト,未作成テキスト
Obanzai Recipe,アイテム１５１,"An obanzai recipe. You
can't miss the kamo-nasu
eggplant. Lv 3 Cooking Skill.",未作成テキスト,未作成テキスト,未作成テキスト,Shinsekai,未作成テキスト,未作成テキスト
Kyoto Curry Recipe,アイテム１５２,"A kyoto curry recipe. The
kamo-nasu eggplant is the
star. Lv 2 Cooking Skill.",未作成テキスト,未作成テキスト,未作成テキスト,Shinsekai,未作成テキスト,未作成テキスト
Master Curry Recipe,アイテム１５３,"The ultimate curry recipe
made during your trip.
Lv 4 Cooking Skill.",未作成テキスト,未作成テキスト,未作成テキスト,Juoji Zoo,未作成テキスト,未作成テキスト
Gyutan Stew Recipe,アイテム１５４,"A gyutan stew recipe.
Mixes beef tongue with
onions and carrots.",未作成テキスト,未作成テキスト,未作成テキスト,Juoji Zoo,未作成テキスト,未作成テキスト
Salmon Bowl Recipe,アイテム１５５,"A salmon bowl recipe.
Freshly cooked rice served
with salmon on top.",未作成テキスト,未作成テキスト,未作成テキスト,Juoji Zoo,未作成テキスト,未作成テキスト
Jingisukan Recipe,アイテム１５６,"A jingisukan recipe.
Lamb meat with vegetables.
Lv 1 Cooking Skill.",未作成テキスト,未作成テキスト,未作成テキスト,Mt. Chashiro,未作成テキスト,未作成テキスト
Seafood Bowl Recipe,アイテム１５７,"A seafood bowl recipe.
Tuna and salmon are key
elements. Lv 1 Cooking Skill.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Miso Ramen Recipe,アイテム１５８,"A miso ramen recipe.
It's all about the miso.
Lv 1 Cooking Skill.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Okinawa Soba Recipe,アイテム１５９,"An okinawa soba recipe. The
noodles must be made from
flour. Lv 2 Cooking Skill.",未作成テキスト,未作成テキスト,未作成テキスト,Shipping Railway Area,未作成テキスト,未作成テキスト
Goya Chanpuru Recipe,アイテム１６０,"A goya chanpuru recipe.
Goya is recommended.
Lv 2 Cooking Skill.",Garu,ガル,"Light Wind dmg to an
area of foes.",Shipping Railway Area,未作成テキスト,未作成テキスト
Goat Soup Recipe,アイテム１６１,"A goat soup recipe. Awamori
is used to eliminate the
smell. Lv 2 Cooking Skill.",Garula,ガルーラ,"Medium Wind dmg to an
area of foes.",Shipping Railway Area,未作成テキスト,未作成テキスト
Kushikatsu Recipe,アイテム１６２,"A kushikatsu recipe. All the
beef and pork you could
want. Lv 3 Cooking Skill.",Garudyne,ガルダイン,"Heavy Wind dmg to an
area of foes.",Shipping Railway Area,未作成テキスト,未作成テキスト
Okonomiyaki Recipe,アイテム１６３,"An okonomiyaki recipe.
Made with pork and
cabbage. Lv 3 Cooking Skill.",Panta Rhei,バンブツルテン,"Severe Wind dmg to an
area of foes.",Abeno R's Mall,未作成テキスト,未作成テキスト
Crab Hot Pot Recipe,アイテム１６４,"A crab hot pot recipe. Can't
start the party without crabs.
Lv 3 Cooking Skill.",Magaru,マハガル,"Light Wind dmg to a wide
area of foes.",Abeno R's Mall,未作成テキスト,未作成テキスト
Osaka Sushi Recipe,アイテム１６５,"An osaka sushi recipe. A
luxurious bento with tuna
and crab. Lv 3 Cooking Skill.",Magarula,マハガルーラ,"Medium Wind dmg to a wide
area of foes.",Juoji Station,未作成テキスト,未作成テキスト
Master Coffee Recipe,アイテム１６６,"The ultimate coffee recipe
made during your trip.
Lv 4 Cooking Skill.",Magarudyne,マハガルダイン,"Heavy Wind dmg to a wide
area of foes.",Airship to Juoji Station,未作成テキスト,未作成テキスト
Churrasco Recipe,アイテム１６７,"A churrasco recipe.
Cook all the meat you can.
Lv 4 Cooking Skill.",Vacuum Wave,シンクウハ,"Severe Wind dmg to a wide
area of foes.",Entrance Hall,未作成テキスト,未作成テキスト
未作成テキスト,アイテム１６８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Entrance Hall,未作成テキスト,未作成テキスト
未作成テキスト,アイテム１６９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,Entrance Hall,未作成テキスト,未作成テキスト
Select Coffee Beans,アイテム１７０,"An ingredient used for
cooking.",未作成テキスト,未作成テキスト,未作成テキスト,Elevator,未作成テキスト,未作成テキスト
Salmon,アイテム１７１,"An ingredient used for
cooking.",未作成テキスト,未作成テキスト,未作成テキスト,Security Room,未作成テキスト,未作成テキスト
Gyutan,アイテム１７２,"An ingredient used for
cooking.",未作成テキスト,未作成テキスト,未作成テキスト,Courtyard,未作成テキスト,未作成テキスト
Carrot,アイテム１７３,"An ingredient used for
cooking.",未作成テキスト,未作成テキスト,未作成テキスト,Cage of Arrogance,未作成テキスト,未作成テキスト
Onion,アイテム１７４,"An ingredient used for
cooking.",未作成テキスト,未作成テキスト,未作成テキスト,Dotonbori,未作成テキスト,未作成テキスト
Pork,アイテム１７５,"An ingredient used for
cooking.",未作成テキスト,未作成テキスト,未作成テキスト,Shinsekai,未作成テキスト,未作成テキスト
Rice,アイテム１７６,"An ingredient used for
cooking.",未作成テキスト,未作成テキスト,未作成テキスト,Airship to Abeno Haretas,未作成テキスト,未作成テキスト
Flour,アイテム１７７,"An ingredient used for
cooking.",未作成テキスト,未作成テキスト,未作成テキスト,Docking Bridge,未作成テキスト,未作成テキスト
Miso,アイテム１７８,"An ingredient used for
cooking.",未作成テキスト,未作成テキスト,未作成テキスト,Castle: Front Area,未作成テキスト,未作成テキスト
Lamb Meat,アイテム１７９,"An ingredient used for
cooking.",未作成テキスト,未作成テキスト,未作成テキスト,Castle: Front Area,未作成テキスト,未作成テキスト
Cabbage,アイテム１８０,"An ingredient used for
cooking.",Psi,サイ,"Light Psy dmg to an area
of foes. Effective against foes
inflicted with status ailments.",Cage of Arrogance,未作成テキスト,未作成テキスト
Tuna,アイテム１８１,"An ingredient used for
cooking.",Psio,サイオ,"Medium Psy dmg to an area
of foes. Effective against foes
inflicted with status ailments.",Corridor,未作成テキスト,未作成テキスト
Egg,アイテム１８２,"An ingredient used for
cooking.",Psiodyne,サイダイン,"Heavy Psy dmg to an area
of foes. Effective against foes
inflicted with status ailments.",Loading Bay,未作成テキスト,未作成テキスト
Beef,アイテム１８３,"An ingredient used for
cooking.",Psycho Force,サイコキネシス,"Severe Psy dmg to an area
of foes. Effective against foes
inflicted with status ailments.",Loading Bay,未作成テキスト,未作成テキスト
Cooking Awamori,アイテム１８４,"An ingredient used for
cooking.",Mapsi,マハサイ,"Light Psy dmg to a wide area
of foes. Effective against foes
inflicted with status ailments.",First Class Lounge,未作成テキスト,未作成テキスト
Goya,アイテム１８５,"An ingredient used for
cooking.",Mapsio,マハサイオ,"Medium Psy dmg to a wide area
of foes. Effective against foes
inflicted with status ailments.",Mt. Chashiro: Prison,未作成テキスト,未作成テキスト
Tofu,アイテム１８６,"An ingredient used for
cooking.",Mapsiodyne,マハサイダイン,"Heavy Psy dmg to a wide area
of foes. Effective against foes
inflicted with status ailments.",Stairs,未作成テキスト,未作成テキスト
Goat Meat,アイテム１８７,"An ingredient used for
cooking.",Psycho Blast,サイコフォース,"Severe Psy dmg to a wide area
of foes. Effective against foes
inflicted with status ailments.",Stairs,未作成テキスト,未作成テキスト
Kamo-Nasu Eggplant,アイテム１８８,"An ingredient used for
cooking.",未作成テキスト,未作成テキスト,未作成テキスト,Prison Keep: Rooftop,未作成テキスト,未作成テキスト
